uuid, study, function, error_line, error_message, L_ij, E_ij, K_ij, F_ij compiling, F_ij passing tests
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_load,load.c:28:22,SEGV on,67,4,0.0597,19,4
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_load,load.c:91:17,heap-buffer-overflow on,67,4,0.0597,19,4
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_load,load.c:90:28,heap-buffer-overflow on,67,4,0.0597,19,4
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_remove_item_at_pos,remove_item_at_pos.c:35:22,SEGV on,23,3,0.1304,22,16
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_remove_item_at_pos,remove_item_at_pos.c:40:19,SEGV on,23,3,0.1304,22,16
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_remove_item_at_pos,remove_item_at_pos.c:30:26,SEGV on,23,3,0.1304,22,16
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_add_item_at_pos,add_item_at_pos.c:41:9,heap-buffer-overflow on,36,5,0.1389,28,18
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_add_item_at_pos,add_item_at_pos.c:41:9,SEGV on,36,5,0.1389,28,18
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_add_item_at_pos,add_item_at_pos.c:40:31,heap-buffer-overflow on,36,5,0.1389,28,18
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_add_item_at_pos,add_item_at_pos.c:62:27,heap-buffer-overflow on,36,5,0.1389,28,18
3533dacf-349b-4581-bc32-6b9f015199c1,Active,list_add_item_at_pos,add_item_at_pos.c:63:5,SEGV on,36,5,0.1389,28,18
36deba30-9345-480d-8221-387f5192f83d,Active,list_item_to_string,item_to_string.c:36:5,stack-buffer-overflow on,11,1,0.0909,28,23
36deba30-9345-480d-8221-387f5192f83d,Active,list_load,load.c:41:32,libFuzzer: out-of-memory,21,1,0.0476,19,4
36deba30-9345-480d-8221-387f5192f83d,Active,list_remove_item_at_pos,remove_item_at_pos.c:31:23,SEGV on,26,2,0.0769,22,16
36deba30-9345-480d-8221-387f5192f83d,Active,list_remove_item_at_pos,remove_item_at_pos.c:45:28,SEGV on,26,2,0.0769,22,16
36deba30-9345-480d-8221-387f5192f83d,Active,list_update_item_at_pos,update_item_at_pos.c:30:25,SEGV on,22,1,0.0455,26,19
3cff10bf-23d9-48f4-9f45-96a223a8e2de,Active,list_item_to_string,item_to_string.c:34:5,stack-buffer-overflow on,9,1,0.1111,28,23
3cff10bf-23d9-48f4-9f45-96a223a8e2de,Active,list_update_item_at_pos,update_item_at_pos.c:33:25,SEGV on,25,1,0.04,26,19
40a638f7-3fe3-43b0-b6cd-c47427778724,Deactive,list_add_item_at_pos,add_item_at_pos.c:49:26,SEGV on,25,2,0.08,19,11
40a638f7-3fe3-43b0-b6cd-c47427778724,Deactive,list_add_item_at_pos,add_item_at_pos.c:54:30,SEGV on,25,2,0.08,19,11
40a638f7-3fe3-43b0-b6cd-c47427778724,Deactive,list_print,print.c:47:9,SEGV on,15,1,0.0667,24,9
40a638f7-3fe3-43b0-b6cd-c47427778724,Deactive,list_remove_item_at_pos,remove_item_at_pos.c:38:26,SEGV on,18,4,0.2222,12,9
40a638f7-3fe3-43b0-b6cd-c47427778724,Deactive,list_remove_item_at_pos,remove_item_at_pos.c:36:26,SEGV on,18,4,0.2222,12,9
40a638f7-3fe3-43b0-b6cd-c47427778724,Deactive,list_remove_item_at_pos,remove_item_at_pos.c:39:32,SEGV on,18,4,0.2222,12,9
40a638f7-3fe3-43b0-b6cd-c47427778724,Deactive,list_remove_item_at_pos,remove_item_at_pos.c:33:23,SEGV on,18,4,0.2222,12,9
40a638f7-3fe3-43b0-b6cd-c47427778724,Deactive,list_update_item_at_pos,update_item_at_pos.c:43:24,SEGV on,23,2,0.087,13,9
40a638f7-3fe3-43b0-b6cd-c47427778724,Deactive,list_update_item_at_pos,update_item_at_pos.c:32:24,SEGV on,23,2,0.087,13,9
